internship_title,company_name,location,start_date,duration,stipend,Skills,gender
Law/Legal,Thomas Cook,Mumbai,Immediately,6 Months,"₹ 3,000 /month","Legal research (Westlaw, LexisNexis), Case management, MS Word, Legal drafting",ANY
Human Resources (HR),Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"₹ 10,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
PHP Laravel Development,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,500 /month +  Incentives","PHP, Laravel, MySQL, JavaScript, HTML/CSS, Git, Composer",ANY
Campus Ambassador,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Performance Based,"Social media, Public speaking, Networking, Event promotion",ANY
Social Work,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Case management software, MS Office, Counseling techniques, Community outreach",Female
Social (Fundraising),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Fundraising platforms (Ketto, GiveIndia), CRM, Social media, Canva, Email marketing",ANY
Human Resources (HR),Paisabazaar,Gurgaon,Immediately,6 Months,"₹ 20,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Sales,Prolance,Bangalore,Immediately,6 Months,"₹ 5,000 /month","CRM, Sales engagement platforms, LinkedIn Sales Navigator, Microsoft Office Suite",ANY
Sales  Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,6 Months,"₹ 12,000 /month","CRM, MS Office, Sales techniques, Communication, Negotiation",ANY
Marketing,HarperCollins Publishers India Private Limited,Gurgaon,Immediately,6 Months,"₹ 5,000 /month","Google Analytics, SEO/SEM, Social media, Email marketing, CRM",ANY
Human Resources (HR),Zucol Group Of Companies,Gurgaon,Immediately,6 Months,"₹ 8,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Sales,NoBroker Technologies Solutions Private Limited,Chennai,Immediately,6 Months,"₹ 12,000 /month","CRM, Sales engagement platforms, LinkedIn Sales Navigator, Microsoft Office Suite",ANY
Recruitment,Ozzone Group,Work From Home,Immediately,6 Months,"₹ 4,500 /month","ATS, LinkedIn Recruiter, Job boards, Sourcing, Interviewing",Female
Sales,Reliance Brands Limited,Chandigarh,Immediately,6 Months,"₹ 14,000 /month","CRM, Sales engagement platforms, LinkedIn Sales Navigator, Microsoft Office Suite",ANY
UX Design,Techolution,Work From Home,Immediately,6 Months,"₹ 15,000 /month","Figma/Sketch/XD, User research, Wireframing, Prototyping, Usability testing",ANY
HR Consultant,Paracoat Products Limited,Gurgaon,Immediately,6 Months,"₹ 15,000 /month","HRIS, ATS, Performance management systems, Compensation and benefits analysis, Labor law knowledge",ANY
Law/Legal,Techolution,Work From Home,Immediately,6 Months,"₹ 15,000 /month","Legal research (Westlaw, LexisNexis), Case management, MS Word, Legal drafting",ANY
L&D,Godrej And Boyce Manufacturing Company Limited,Mumbai,Immediately,6 Months,"₹ 4,000 /month","LMS, Articulate Storyline, Camtasia, Presentation software, Training needs analysis",ANY
Human Resources (HR),Trent Hypermarket Private Limited - STAR Bazaar,Mumbai,Immediately,6 Months,"₹ 7,000-10,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Search Engine Optimization (SEO),CollegeDunia Web Private Limited,Work From Home,Immediately,6 Months,"₹ 15,000-20,000 /month","SEMrush/Ahrefs, Google Analytics, Search Console, Screaming Frog, Technical/On-page/Off-page SEO",Female
Human Resources (HR),International SOS,Mumbai,Immediately,6 Months,"₹ 15,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Launch Management,Cultfit Healthcare Private Limited,Hyderabad,Immediately,6 Months,"₹ 25,000 /month","Project management tools, MS Office, Go-to-market strategy, Cross-functional coordination",ANY
Marketing,Shree Maruti Courier Service Private Limited,Sachin INA,Immediately,6 Months,"₹ 7,000-12,000 /month","Google Analytics, SEO/SEM, Social media, Email marketing, CRM",ANY
HR - Talent Acquisition,Niva Bupa Health Insurance,Noida,Immediately,6 Months,"₹ 10,000 /month","ATS, LinkedIn Recruiter, Job boards, Sourcing, Boolean search",ANY
Campus Ambassador,Across The Globe (ATG),Work From Home,Immediately,6 Months,Performance Based,"Social media, Public speaking, Networking, Event promotion",Female
Human Resources (HR),Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Sales,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,000-2,500 /month","CRM, Sales engagement platforms, LinkedIn Sales Navigator, Microsoft Office Suite",Female
Marketing,Vedantu Innovations,Tiruchirappalli,Immediately,3 Months,"₹ 20,000 /month","Google Analytics, SEO/SEM, Social media, Email marketing, CRM",Female
Generative Adversarial Networks,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 8,000-12,000 /month","Python, TensorFlow/PyTorch, NumPy, GAN theory, Image processing",ANY
Node.js Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives","Node.js, Express.js, JavaScript/TypeScript, MongoDB/PostgreSQL, REST APIs, Git",ANY
Product Management (Technical),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,000-8,000 /month","Jira, Confluence, SQL, APIs, Figma, System design basics, Roadmapping",ANY
Web Development (Frontend),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-7,500 /month","HTML, CSS, JavaScript, React/Angular/Vue, Git, Responsive design",ANY
Sales,NoBroker Technologies Solutions Private Limited,Hyderabad,Immediately,3 Months,"₹ 15,000 /month","CRM, Sales engagement platforms, LinkedIn Sales Navigator, Microsoft Office Suite",ANY
Technical Content Writing,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives","Markdown, Git, API documentation tools, Diagramming tools (Lucidchart), Tech knowledge",ANY
MERN Stack Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 4,000-10,000 /month","MongoDB, Express.js, React, Node.js, JavaScript, Git",ANY
ReactJs Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-5,000 /month","React, JavaScript, HTML/CSS, Redux, REST APIs, Git, Webpack",ANY
Python Django Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives","Python, Django, PostgreSQL/MySQL, HTML/CSS/JS, Git, DRF",ANY
Python Automation,Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500 /month +  Incentives","Python, Selenium, BeautifulSoup, Pandas, APIs, Task scheduling",Female
HR & Admin,Modenik Lifestyle Private Limited,Bangalore,Immediately,3 Months,"₹ 8,000 /month","HRIS, ATS, Microsoft Office Suite, G Suite, Payroll software, Office management",ANY
Resource Management,Techolution,Hyderabad,Immediately,3 Months,"₹ 15,000 /month","Project management software with resource planning, Excel, HRIS basics",ANY
Project Management,IIT Bombay,Work From Home,Immediately,3 Months,"₹ 1,000-2,000 /month","Jira, Asana, Trello, MS Project, Smartsheet, Agile/Scrum methodologies, Risk management",ANY
Business Development,Ozzone Group,Work From Home,Immediately,3 Months,"₹ 10,000 /month","CRM, LinkedIn Sales Navigator, Sales prospecting tools, Microsoft Office Suite",ANY
Business Development (Sales),NoBroker Technologies Solutions Private Limited,Ahmedabad,Immediately,3 Months,"₹ 15,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Sales Promotion,IndiaFirst Life Private Limited,Mumbai,Immediately,3 Months,"₹ 25,000 /month","CRM, Social media, Email marketing, Canva, Event coordination",ANY
UI Design,Pepperfry,Mumbai,Immediately,3 Months,"₹ 20,000-25,000 /month","Figma, Sketch, Adobe XD, InVision, Zeplin, User Interface principles, Wireframing, Prototyping",ANY
Project Management (Marketing),Across The Globe (ATG),Work From Home,Immediately,3 Months,"₹ 2,500-7,000 /month","Asana, Trello, Jira, Google Analytics, Marketing automation tools, Budgeting (Excel)",ANY
Finance & Accounting,MetrixLab,Hyderabad,Immediately,3 Months,"₹ 18,000 /month","Tally ERP 9, QuickBooks, Advanced Microsoft Excel, SAP FICO, Financial Modeling, Zoho Books",ANY
Talent Acquisition,Amara Raja Group,Hyderabad,Immediately,3 Months,"₹ 15,000 /month","ATS, LinkedIn Recruiter, Sourcing, Boolean search, Interviewing",ANY
Communication & Project Management,Teach For India,Hyderabad,Immediately,3 Months,"₹ 4,000 /month","Project Management Tools (Jira, Asana, Trello), Communication Tools (Slack, Microsoft Teams), G Suite/Microsoft Office, Gantt Charts",ANY
Logistics And Operations,Delhivery,Mumbai,Immediately,3 Months,"₹ 8,000 /month","ERP systems, Transportation Management System (TMS), Warehouse Management System (WMS), Advanced Excel, Supply chain principles",ANY
Event Management,Times Internet,Noida,Immediately,3 Months,"₹ 10,000 /month","Event planning software (Cvent, Eventbrite), Project management tools (Asana, Trello), Microsoft Office Suite, Budgeting (Excel), Social media marketing",ANY
Content Writing,LeadSquared,Bangalore,Immediately,3 Months,"₹ 20,000 /month","WordPress, SEO tools, Grammarly, Plagiarism checker, Google Docs, Canva",ANY
Environment Education Program (Mumbai),WWF-India,Mumbai,Immediately,3 Months,"₹ 10,000 /month","Presentation software, Curriculum development, Event coordination, Field work",ANY
Business Development (Sales),Anarock Property Consultant Private Limited,Bangalore,Immediately,3 Months,"₹ 20,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Human Resources (HR),Zee Media Corporation Limited,Noida,Immediately,3 Months,"₹ 2,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",Female
Finance,CaratLane Trading Private Limited,Chennai,Immediately,3 Months,"₹ 15,000 /month","Advanced Excel, Tally/QuickBooks, Financial modeling, SAP FICO, Bloomberg",ANY
Customer Service,Ferns N Petals,Gurgaon,Not specified,3 Months,"₹ 15,000 /month","CRM, Helpdesk software (Zendesk, Freshdesk), Live chat tools, Telephony systems, Microsoft Office",Female
Advertising Sales(Business Development) - Kerala (Malayalam),ShareChat,Work From Home,Immediately,3 Months,"₹ 15,000 /month","CRM, LinkedIn Sales Navigator, Ad serving platforms (e.g., Google Ad Manager), Microsoft Office Suite, Malayalam language proficiency",ANY
Human Resources (HR),Agarwal Packers & Movers Limited,Delhi,Immediately,3 Months,"₹ 10,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Legal,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Mumbai,Immediately,3 Months,"₹ 15,000 /month","Legal research databases (Westlaw), Case management software, MS Word, Contract drafting",ANY
Sales,NoBroker Technologies Solutions Private Limited,Vadodara,Immediately,3 Months,"₹ 12,000 /month","CRM, Sales engagement platforms, LinkedIn Sales Navigator, Microsoft Office Suite",ANY
Human Resources (HR),MAHANADI SPICES,Bilaspur,Immediately,3 Months,"₹ 20,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Recruitment,Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,"ATS, LinkedIn Recruiter, Job boards, Sourcing, Interviewing",ANY
Human Resources (HR),Marpu Foundation,Work From Home,Immediately,3 Months,Unpaid,"HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Talent Acquisition,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,"ATS, LinkedIn Recruiter, Sourcing, Boolean search, Interviewing",ANY
"New Client Aquisition, Key Accounts Management",Pepperfry Limited,Panvel,Immediately,1 Week,"₹ 8,000 /month +  Incentives","CRM, LinkedIn Sales Navigator, Sales prospecting, Account planning, Negotiation",ANY
Talent Acquisition,Scaler Academy,Work From Home,Immediately,1 Week,"₹ 5,000-8,000 /month","ATS, LinkedIn Recruiter, Sourcing, Boolean search, Interviewing",Female
Omni Sport Leadership - Hiking/Trekking,Decathlon,Mumbai,Immediately,1 Week,"₹ 15,000 /month","First aid certification, Navigation tools (GPS, maps, compass), Route planning software, Weather forecasting apps",ANY
Business Development Management,Across The Globe (ATG),Work From Home,Immediately,1 Week,"₹ 1,000-1,500 /month","CRM, Sales forecasting, Team management, P&L analysis, Strategic planning",ANY
Data Entry With Marketing,Across The Globe (ATG),Work From Home,Immediately,1 Week,"₹ 1,000-1,500 /month","Microsoft Excel, Google Sheets, CRM, Email Marketing Platforms, Social Media Platforms, Basic SEO knowledge",ANY
Social Work,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,"Case management software, MS Office, Counseling techniques, Community outreach",ANY
Human Resources (HR),Jiva Ayurveda,Faridabad,Immediately,1 Week,"₹ 5,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Campus Ambassador,IIT Roorkee,Work From Home,Immediately,1 Week,Performance Based,"Social media, Public speaking, Networking, Event promotion",Female
Content Writing,Xiaomi Technology India Private Limited,Bangalore,Immediately,1 Week,"₹ 20,000 /month","WordPress, SEO tools, Grammarly, Plagiarism checker, Google Docs, Canva",Female
Operations,NoBroker Technologies Solutions Private Limited,Noida,Immediately,1 Week,"₹ 15,000 /month","ERP, MS Excel, Project management tools, Process optimization, Data analysis",Female
Resource Management,Techolution,Hyderabad,Immediately,1 Week,"₹ 15,000 /month","Project management software with resource planning, Excel, HRIS basics",ANY
Human Resources (HR),Zucol Group Of Companies,Jaipur,Immediately,1 Week,"₹ 7,000-10,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
HR Operations,Freecharge Payments Technology Private Limited,Gurgaon,Immediately,1 Week,"₹ 15,000 /month","HRIS, Payroll software, Excel, Onboarding/offboarding processes, Compliance",ANY
Guest Relation Operations,Apollo Hospitals,Navi Mumbai,Immediately,1 Week,"₹ 5,000 /month","PMS (Property Management System), CRM, Communication tools, Microsoft Office",ANY
Business Development (Sales),Decathlon Sport India,Ahmedabad,Immediately,1 Week,"₹ 10,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Event Coordination,Aam Aadmi Party,Delhi,Immediately,1 Week,Unpaid,"Event management software, MS Office/G Suite, Communication tools (Slack, WhatsApp), Budgeting (Excel)",ANY
Graphic Design,Educate Girls,Mumbai,Immediately,1 Week,"₹ 12,000-15,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",Female
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,"HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Induction Representation,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,"Public speaking, Presentation software, Company knowledge, Communication",ANY
Business Development (Sales),Urban Company,Bhubaneswar,Immediately,1 Week,"₹ 20,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Human Resources (HR),Community Action Through Motivation Program,Naya Raipur,Immediately,1 Week,"₹ 3,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Field Sales,LIC,Ahmedabad,Immediately,1 Week,"₹ 5,000 /month +  Incentives","CRM (mobile version), Route planning apps, Presentation software (on tablet), Negotiation skills",ANY
Business Development (Sales),Decathlon Sports India,Ahmedabad,Immediately,1 Week,"₹ 5,000-10,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",Female
City Management,Urban Company,Mumbai,Immediately,1 Week,"₹ 20,000-25,000 /month","GIS software, Project management, Public policy knowledge, Data analysis (Excel), Urban planning software",ANY
Social Media Management,Life Fitness,Work From Home,Immediately,1 Week,"₹ 1,000 /month","Hootsuite/Buffer/Later, Canva, Social media analytics, Content calendar, Community engagement",ANY
Human Resources (HR),Paradise Food Court Private Limited,Hyderabad,Immediately,1 Week,"₹ 5,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Video Editor,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,"Adobe Premiere Pro, Final Cut Pro, DaVinci Resolve, After Effects",ANY
Human Resources (HR),APAC Financial Services Private Limited,Mumbai,Immediately,1 Week,"₹ 8,000-10,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",Female
Social Media Marketing,Sportskeeda,Work From Home,Immediately,1 Week,"₹ 10,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Omni Sports Leader,Decathlon,Thane,Immediately,1 Week,"₹ 10,000 /month","First aid, Sport-specific knowledge, Coaching, Team management",ANY
Graphic Design,CIIE Initiatives (IIM Ahmedabad),Ahmedabad,Immediately,1 Week,"₹ 10,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",ANY
Business Development (Sales),Urban Company,Bangalore,Immediately,1 Week,"₹ 18,000-25,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Graphic Design,Saregama India Limited,Chennai,Immediately,1 Week,"₹ 5,000-10,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",Female
Android App Development,Star Health & Allied Insurance Company Limited,Vrindavan,Immediately,1 Week,"₹ 5,000 /month","Java, Kotlin, Android Studio, XML, Android SDK, Firebase, Git, REST APIs",ANY
Talent Acquisition,Techolution,Work From Home,Immediately,1 Week,"₹ 15,000 /month","ATS, LinkedIn Recruiter, Sourcing, Boolean search, Interviewing",ANY
Telecalling,Air India SATS Airport Services Private Limited,Delhi,Immediately,1 Week,"₹ 7,000-15,000 /month","CRM, Dialing Software, Microsoft Excel, Google Sheets, Communication Scripts",ANY
Business Development (Sales),Urban Company,Mumbai,Immediately,1 Week,"₹ 20,000-25,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",Female
Operations,PcsInfinity,Delhi,Immediately,3 Months,"₹ 10,000 lump sum","ERP, MS Excel, Project management tools, Process optimization, Data analysis",Female
Company Secretary (CS),Justdial,Mumbai,Immediately,1 Week,"₹ 12,000 /month","MCA Portal (V2, V3), MS Office Suite (Word, Excel, PowerPoint), Legal Research Tools, Compliance Management Software",ANY
Human Resources (HR),Media.net,Bangalore,Immediately,1 Week,"₹ 15,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Content Writing,OfBusiness,Gurgaon,Immediately,4 Months,"₹ 20,000 /month","WordPress, SEO tools, Grammarly, Plagiarism checker, Google Docs, Canva",Female
Talent Acquisition,Ozone Overseas Private Limited,Gurgaon,Immediately,4 Months,"₹ 15,000 /month","ATS, LinkedIn Recruiter, Sourcing, Boolean search, Interviewing",ANY
Webinar Operations & Strategy,Simplilearn Solutions Private Limited,Bangalore,Immediately,4 Months,"₹ 15,000 /month","Zoom Webinar/GoToWebinar, Email marketing, Landing page builders, Presentation software",ANY
Business Development (Sales),Pioneer E Solutions,Gurgaon,Immediately,4 Months,"₹ 15,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Social Media Manager,Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid,"Hootsuite/Buffer/Sprout Social, Canva, Analytics, Ad platforms, Content strategy",ANY
Journalism,Press Trust Of India,Delhi,Immediately,4 Months,"₹ 20,000 /month","AP Style, WordPress, Audio/video editing, Social media, Interviewing",ANY
Business Operations,Pristyn Care,Gurgaon,Immediately,4 Months,"₹ 8,000 /month","ERP, CRM, Project management tools, Excel, Process mapping (Visio)",ANY
Online Reputation Management,Motilal Oswal Financial Services Limited,Mumbai,Immediately,4 Months,"₹ 5,000 /month","Social listening tools (Brand24), Review management platforms, SEO, PR basics",ANY
Strategy and Research,Vedantu,Bangalore,Immediately,4 Months,"₹ 25,000-35,000 /month","Microsoft Office Suite (Excel, PowerPoint), Market Research Tools (Statista, Gartner), Data Analysis (SQL, Python/R basics), Competitive Analysis frameworks",ANY
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid,"HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",Female
HR,AU Small Finance Bank,Mumbai,Immediately,4 Months,"₹ 2,000 /month","HRIS, ATS, MS Office, LinkedIn Recruiter, Payroll software",ANY
Business Development,CollegeDunia Web Private Limited,Gurgaon,Immediately,4 Months,"₹ 10,000 /month","CRM, LinkedIn Sales Navigator, Sales prospecting tools, Microsoft Office Suite",ANY
Web Maintenance,Tata Motors,Mumbai,Immediately,4 Months,"₹ 8,000 /month","WordPress, HTML/CSS, cPanel/FTP, Google Analytics, Backup tools",ANY
User Research,Leverage Edu,Noida,Immediately,4 Months,"₹ 10,000 /month","Survey Tools (SurveyMonkey, Google Forms), User Interviewing, Persona Creation, Journey Mapping, Usability Testing Tools (UserTesting.com), Prototyping Tools (Figma, Sketch)",ANY
Nutraceuticals-Project,Akums Drugs & Pharmaceuticals Limited,Delhi,Immediately,4 Months,"₹ 12,000 /month","Research databases (PubMed), Formulation software, Microsoft Project, Excel, Knowledge of FSSAI regulations",ANY
Finance & Accounting,Ieng Groups,Bangalore,Immediately,4 Months,"₹ 5,000 /month","Tally ERP 9, QuickBooks, Advanced Microsoft Excel, SAP FICO, Financial Modeling, Zoho Books",ANY
Sales Administration,Fresenius Kabi,Pune,Immediately,4 Months,"₹ 20,000 /month","CRM, MS Office Suite (especially Excel), ERP systems, Order processing",ANY
Business Development (Sales),Urban Company,Patna,Immediately,4 Months,"₹ 20,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Human Resources (HR),SILA Group,Bangalore,Immediately,4 Months,"₹ 8,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Program Operations,Bharti Foundation,Gurgaon,Immediately,4 Months,"₹ 17,500 /month","Project management tools, MS Office, Budgeting, Reporting, Stakeholder communication",Female
Volunteering,International Human Rights Protection Commission,Andhra Pradesh,Immediately,4 Months,Unpaid,"Communication skills, Teamwork, Specific skills related to the cause (e.g., teaching, event management)",ANY
Social Entrepreneurship,Subhansh Sewa Trust,Work From Home,Immediately,4 Months,Unpaid,"Business Model Canvas, Lean startup principles, Grant writing, Social media, Crowdfunding platforms",ANY
HR,Gupshup Technology,Mumbai,Immediately,4 Months,"₹ 10,000 /month","HRIS, ATS, MS Office, LinkedIn Recruiter, Payroll software",Female
Graphic Design,Bajaj Finance Limited,Pune,Immediately,4 Months,"₹ 5,000-15,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",ANY
Graphic And Content,Hero Vired,Delhi,Immediately,4 Months,"₹ 20,000 /month","Adobe Creative Suite, Canva, WordPress, SEO, Grammarly",ANY
Angular UI Development & UI Design,IIT Bombay,Work From Home,Immediately,4 Months,"₹ 1,000-2,000 /month","Angular, TypeScript, HTML/CSS, Figma/Sketch, UI principles",ANY
Teaching GPAT And Pharmacy Exams,Unacademy,Work From Home,Immediately,4 Months,"₹ 20,000 /month","Subject matter expertise in pharmacy, Presentation software, Online teaching platforms, Question bank creation",Female
Business Operations And Research,Benesse India,Delhi,Immediately,4 Months,"₹ 25,000 /month","Microsoft Office Suite (Advanced Excel), SQL, Tableau/Power BI, Project management tools, Market research tools",ANY
Business Development & Brand Solution,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,4 Months,"₹ 5,000 /month","CRM, PowerPoint, Market research, Branding principles, Sales techniques",ANY
